n_test	n_gallery_kos	recall@1	recall@10	recall@100	recall@1000	pct_partially_accurate	ranking_score	ndcg	median_rank_true	cell	fold	method	alpha
4237	3678	0.0016521123436393675	0.017937219730941704	0.12060420108567382	0.5935803634647157	0.16521123436393675	0.9027815403205538	0.11067320195568191	755.0	BICR6	2	pearson_train_gallery	0.7128904461860657
4237	3678	0.008496577767288176	0.03422232711824404	0.1890488553221619	0.6535284399339155	0.8496577767288176	0.915066730696702	0.12739738138427006	555.0	BICR6	2	gallery_dual	0.7128904461860657
4237	3678	0.00519235308000944	0.03162615057823932	0.21807882936039652	0.7113523719612934	0.5192353080009441	0.92684242506094	0.12920849546704552	418.0	BICR6	2	gallery_fuse	0.7128904461860657
4237	3681	0.00259617654000472	0.01746518763275903	0.1229643615765872	0.5983006844465424	0.25961765400047204	0.9050883130825573	0.11220308136797554	723.0	BICR6	3	pearson_train_gallery	0.7351694107055664
4237	3681	0.006844465423648808	0.03162615057823932	0.1878687750767052	0.6414916214302573	0.6844465423648808	0.912625387380392	0.12470216229838528	566.0	BICR6	3	gallery_dual	0.7351694107055664
4237	3681	0.005428369129100779	0.03280623082369601	0.21902289355676186	0.7163087089922114	0.5428369129100779	0.9270585088102526	0.12950343833315978	436.0	BICR6	3	gallery_fuse	0.7351694107055664
4236	3668	0.003777148253068933	0.023607176581680833	0.13503305004721436	0.5915958451369216	0.3777148253068933	0.9025773282632977	0.11424991144226268	730.5	BICR6	4	pearson_train_gallery	0.7145476341247559
4236	3668	0.007790368271954674	0.03895184135977337	0.1954674220963173	0.6456562795089708	0.7790368271954674	0.9124105896912333	0.1275113911051347	585.5	BICR6	4	gallery_dual	0.7145476341247559
4236	3668	0.007318224740321058	0.04320113314447592	0.22001888574126535	0.7075070821529745	0.7318224740321058	0.9253622190358262	0.13313052042300366	421.0	BICR6	4	gallery_fuse	0.7145476341247559
4236	3677	0.003777148253068933	0.01794145420207743	0.1277148253068933	0.5934844192634561	0.3777148253068933	0.903215268371036	0.11283972598378005	745.0	BICR6	5	pearson_train_gallery	0.6089334487915039
4236	3677	0.006137865911237016	0.033050047214353166	0.17492917847025496	0.6227573182247403	0.6137865911237016	0.9093055718576372	0.12303479909363689	634.5	BICR6	5	gallery_dual	0.6089334487915039
4236	3677	0.005429650613786591	0.03517469310670444	0.20939565627950896	0.697119924457035	0.5429650613786591	0.9233095666607097	0.12859215786590097	475.0	BICR6	5	gallery_fuse	0.6089334487915039
4742	3571	0.004850274145929988	0.026360185575706453	0.15099114297764657	0.6159848165331084	0.48502741459299875	0.9107058405591137	0.11932559397210676	636.5	ES2	1	pearson_train_gallery	0.8109577894210815
4742	3571	0.020244622522142555	0.059046815689582456	0.20539856600590467	0.6547870097005483	2.0244622522142555	0.9160228641499745	0.14129388960272515	552.5	ES2	1	gallery_dual	0.8109577894210815
4742	3571	0.018346689160691692	0.06389708983551244	0.2557992408266554	0.7507380851961197	1.8346689160691692	0.9343348983746463	0.14993982915901996	361.0	ES2	1	gallery_fuse	0.8109577894210815
4742	3573	0.0029523407844791226	0.02488401518346689	0.1547870097005483	0.6263180092787853	0.2952340784479123	0.9136596769569589	0.1188910379696703	604.5	ES2	2	pearson_train_gallery	0.8321725130081177
4742	3573	0.01433994095318431	0.05082243778996204	0.2079291438211725	0.65858287642345	1.4339940953184311	0.9162767051606059	0.13700450238361894	534.0	ES2	2	gallery_dual	0.8321725130081177
4742	3573	0.016026992830029525	0.061366512020244623	0.25959510754955717	0.7589624630957402	1.6026992830029523	0.9361714722298445	0.1486568585662642	335.0	ES2	2	gallery_fuse	0.8321725130081177
4742	3570	0.003795866722901729	0.030366933783213833	0.15900463939266132	0.616828342471531	0.3795866722901729	0.9113924058105998	0.12025056181370337	619.0	ES2	3	pearson_train_gallery	0.8101035356521606
4742	3570	0.018768452129902996	0.05335301560522986	0.1952762547448334	0.6391817798397301	1.8768452129902995	0.9121922834536831	0.13801272752456334	593.5	ES2	3	gallery_dual	0.8101035356521606
