cell	method	median_rank_mean	median_rank_std	recall_at_10_mean	recall_at_10_std	partial_pct_mean	ndcg_mean	n_folds
A549	pdgrapher_official	4354.2	428.79447291214	0.0307977736549164	0.0041063367051704	1.2162440733869304	0.0748641408958474	5
A375	cmap_lite_pred_gallery	586.6	11.5021737076085	0.0266586799415177	0.0026323148010511	0.3762446620491898	0.1200776188746817	5
A375	gem_lite_topDEG_corr	583.2	11.278297743897356	0.0239054812244051	0.0034222036424364	0.2982409095728154	0.1186366323405006	5
A375	ridge_delta_to_gallery	487.4	17.85497129653252	0.095347285150408	0.0044604744755078	1.436161840572711	0.1512351862451106	5
A375	pdgrapher_official	5445.4	113.88942005296184	0.0075249985234138	0.0010929443881841	0.1560064521284475	0.0508504253399432	5
AGS	cmap_lite_pred_gallery	627.9	13.23064624271997	0.0196390708095114	0.0017297895687325	0.2490159948850279	0.1153155548403127	5
AGS	gem_lite_topDEG_corr	625.3	7.726577508832736	0.0179007243266729	0.0011900439897574	0.1926338485396012	0.1140859025252369	5
AGS	ridge_delta_to_gallery	687.8	27.90519664865309	0.0451982449075472	0.0037749729766425	2.363280249602159	0.1382408353702215	5
AGS	pdgrapher_official	3798.7	140.9279957992733	0.0132965429783055	0.0029753603773084	0.3852787359519306	0.0648346942198518	5
BICR6	cmap_lite_pred_gallery	696.5	18.20714145603313	0.0195441012368444	0.002770792213233	0.2832482316068503	0.1132105839130474	5
BICR6	gem_lite_topDEG_corr	710.2	16.02186006679623	0.0175613992743007	0.0015463723727255	0.1793911409960769	0.1115193516896635	5
BICR6	ridge_delta_to_gallery	501.5	21.07130750570548	0.0570268262661124	0.0013498497890432	2.771086941938492	0.1494720187781826	5
BICR6	pdgrapher_official	4583.6	104.41407951038012	0.0101969296518395	0.0026570180827096	0.2124400738759206	0.0575578298149161	5
ES2	cmap_lite_pred_gallery	524.1	15.274161188098027	0.0299056455477674	0.0015414184669124	0.4133650733468132	0.1224645156369824	5
ES2	gem_lite_topDEG_corr	538.6	20.11964214393487	0.0259828762989049	0.0011898124498887	0.3374397324202638	0.1205624351537166	5
ES2	ridge_delta_to_gallery	283.0	20.037464909513883	0.1115656996127804	0.0063094307314197	6.424012253099416	0.1982334968299779	5
ES2	pdgrapher_official	2769.9	91.29375663209402	0.0265733088714962	0.0026169739946966	1.3792814479182336	0.0860275662516555	5
HT29	cmap_lite_pred_gallery	573.0	11.51086443322133	0.0185627283800243	0.0016647356456292	0.2241169305724725	0.1155751521235629	5
HT29	gem_lite_topDEG_corr	576.8	6.610597552415361	0.0186601705237515	0.0027377167546087	0.2143727161997564	0.1155640544839472	5
HT29	ridge_delta_to_gallery	656.6	22.07487259306381	0.0785383678440925	0.0035074096262949	1.710109622411693	0.1418437249919567	5
HT29	pdgrapher_official	5623.2	164.39951338127503	0.0056516443361753	0.0006759774385145	0.1559074299634592	0.0474685138826246	5
MCF7	cmap_lite_pred_gallery	731.0	21.897488440458197	0.0174177708003606	0.0014548257728564	0.3036122321720568	0.1116145972380633	5
MCF7	gem_lite_topDEG_corr	718.8	26.7805899860328	0.0164056307094004	0.0011229263422389	0.229039313236764	0.1111208184301904	5
MCF7	ridge_delta_to_gallery	743.0	39.4715087119811	0.0466070244114223	0.0035332621012449	0.7829929477798027	0.1250958476456711	5
MCF7	pdgrapher_official	3555.5	215.33114033971023	0.0175239123541191	0.0042864538914422	0.5805748612930939	0.0734632418749138	5
PC3	cmap_lite_pred_gallery	795.1	20.9057408383439	0.0135192271309739	0.0010344157727465	0.1884170621057052	0.1068419118120005	5
PC3	gem_lite_topDEG_corr	803.2	24.26314076948818	0.0127184401920299	0.0009850583266781	0.1413116869642987	0.1063714597699186	5
PC3	ridge_delta_to_gallery	939.4	24.242008992655705	0.0359882980004183	0.0040989454357068	0.6641811291109155	0.116069716131847	5
PC3	pdgrapher_official	3863.1	83.65210696688997	0.013095232150872	0.0020968451140079	0.4663401069779803	0.0670613137372498	5
U251MG	cmap_lite_pred_gallery	586.6	7.469939758793232	0.0295179643051983	0.001576804860372	0.4710769923535881	0.1216655519051558	5
U251MG	gem_lite_topDEG_corr	601.2	5.310367218940698	0.0256051028036843	0.0018795962832042	0.372302900671695	0.1195174074713942	5
U251MG	ridge_delta_to_gallery	245.0	4.743416490252569	0.1099799314161016	0.003648584052952	6.19611430072423	0.1987845889898667	5
U251MG	pdgrapher_official	3552.0	935.9594008289034	0.0333172553739929	0.0096172455351774	1.3448397544142223	0.0822608733562289	5
YAPC	cmap_lite_pred_gallery	785.0	19.949937343259997	0.0177303203377203	0.0012490465696507	0.2185249565433325	0.1108537880449957	5
YAPC	gem_lite_topDEG_corr	764.2	18.185158784019475	0.0158430593493916	0.0020879883793968	0.228457909113484	0.1104684752366104	5
YAPC	ridge_delta_to_gallery	759.2	35.32279717123208	0.0468835361311149	0.0017060406294827	2.210081946858704	0.1352477194424615	5
YAPC	pdgrapher_official	4987.2	114.75713485443949	0.0062577601191953	0.0010298704421816	0.074497144276136	0.0560286380379328	5
