true_ko	rank_pearson	rank_revpert	cell	cell_line	seed	alpha_star	n_catalog
LTBP3	1406	1248	jurkat	Jurkat	1	0.4896809160709381	2372
ALG1	1288	857	jurkat	Jurkat	1	0.4896809160709381	2372
MTG2	520	308	jurkat	Jurkat	1	0.4896809160709381	2372
TXN	25	13	jurkat	Jurkat	1	0.4896809160709381	2372
FAM133B	745	402	jurkat	Jurkat	1	0.4896809160709381	2372
THOC7	331	10	jurkat	Jurkat	1	0.4896809160709381	2372
BCLAF1	56	1075	jurkat	Jurkat	1	0.4896809160709381	2372
KIF20A	464	630	jurkat	Jurkat	1	0.4896809160709381	2372
USP36	87	86	jurkat	Jurkat	1	0.4896809160709381	2372
PRKRIP1	1973	977	jurkat	Jurkat	1	0.4896809160709381	2372
HIST2H3D	2116	1761	jurkat	Jurkat	1	0.4896809160709381	2372
NRF1	469	1141	jurkat	Jurkat	1	0.4896809160709381	2372
POLR1D	873	2	jurkat	Jurkat	1	0.4896809160709381	2372
LAS1L	70	9	jurkat	Jurkat	1	0.4896809160709381	2372
RBM12	1383	1115	jurkat	Jurkat	1	0.4896809160709381	2372
GNPNAT1	2214	1540	jurkat	Jurkat	1	0.4896809160709381	2372
ZNF253	852	219	jurkat	Jurkat	1	0.4896809160709381	2372
LRRC37A3	1555	436	jurkat	Jurkat	1	0.4896809160709381	2372
INTS6	1649	554	jurkat	Jurkat	1	0.4896809160709381	2372
RBBP5	641	357	jurkat	Jurkat	1	0.4896809160709381	2372
RTCB	1489	889	jurkat	Jurkat	1	0.4896809160709381	2372
TRNP1	2190	947	jurkat	Jurkat	1	0.4896809160709381	2372
RPL7	3	14	jurkat	Jurkat	1	0.4896809160709381	2372
RPS29	694	39	jurkat	Jurkat	1	0.4896809160709381	2372
MAU2	525	288	jurkat	Jurkat	1	0.4896809160709381	2372
UTP6	88	70	jurkat	Jurkat	1	0.4896809160709381	2372
TPRKB	632	1212	jurkat	Jurkat	1	0.4896809160709381	2372
NOL8	446	9	jurkat	Jurkat	1	0.4896809160709381	2372
RPL14	46	15	jurkat	Jurkat	1	0.4896809160709381	2372
DSTYK	6	2	jurkat	Jurkat	1	0.4896809160709381	2372
KAT7	905	302	jurkat	Jurkat	1	0.4896809160709381	2372
ATP1A1	1045	1034	jurkat	Jurkat	1	0.4896809160709381	2372
DDX27	2	8	jurkat	Jurkat	1	0.4896809160709381	2372
HOXC10	1664	1279	jurkat	Jurkat	1	0.4896809160709381	2372
COPG1	1847	1809	jurkat	Jurkat	1	0.4896809160709381	2372
SURF6	44	6	jurkat	Jurkat	1	0.4896809160709381	2372
RARS	394	32	jurkat	Jurkat	1	0.4896809160709381	2372
INTS14	766	142	jurkat	Jurkat	1	0.4896809160709381	2372
RPRD1B	1881	1840	jurkat	Jurkat	1	0.4896809160709381	2372
SKA1	391	204	jurkat	Jurkat	1	0.4896809160709381	2372
DNAJC8	2175	1576	jurkat	Jurkat	1	0.4896809160709381	2372
TMX2	92	7	jurkat	Jurkat	1	0.4896809160709381	2372
RAB4A	31	52	jurkat	Jurkat	1	0.4896809160709381	2372
PAF1	29	5	jurkat	Jurkat	1	0.4896809160709381	2372
KCNA10	587	674	jurkat	Jurkat	1	0.4896809160709381	2372
FBRSL1	482	133	jurkat	Jurkat	1	0.4896809160709381	2372
PRPF18	1127	575	jurkat	Jurkat	1	0.4896809160709381	2372
MZF1	2017	1358	jurkat	Jurkat	1	0.4896809160709381	2372
SDHD	581	1315	jurkat	Jurkat	1	0.4896809160709381	2372
MAK16	379	10	jurkat	Jurkat	1	0.4896809160709381	2372
LSM3	47	77	jurkat	Jurkat	1	0.4896809160709381	2372
PSMD9	1348	99	jurkat	Jurkat	1	0.4896809160709381	2372
KTI12	345	439	jurkat	Jurkat	1	0.4896809160709381	2372
HSP90B1	1882	2135	jurkat	Jurkat	1	0.4896809160709381	2372
CTDP1	110	102	jurkat	Jurkat	1	0.4896809160709381	2372
RPL36	3	1	jurkat	Jurkat	1	0.4896809160709381	2372
PPP2CA	1763	1700	jurkat	Jurkat	1	0.4896809160709381	2372
CT45A5	1934	2006	jurkat	Jurkat	1	0.4896809160709381	2372
GFER	327	429	jurkat	Jurkat	1	0.4896809160709381	2372
KEAP1	1	1	jurkat	Jurkat	1	0.4896809160709381	2372
CPNE1	769	1122	jurkat	Jurkat	1	0.4896809160709381	2372
SEC61G	1225	629	jurkat	Jurkat	1	0.4896809160709381	2372
N6AMT1	1045	1194	jurkat	Jurkat	1	0.4896809160709381	2372
TFDP1	80	116	jurkat	Jurkat	1	0.4896809160709381	2372
COG3	388	801	jurkat	Jurkat	1	0.4896809160709381	2372
BPTF	1721	1729	jurkat	Jurkat	1	0.4896809160709381	2372
CNOT11	799	927	jurkat	Jurkat	1	0.4896809160709381	2372
USP19	1924	1938	jurkat	Jurkat	1	0.4896809160709381	2372
AP2A1	579	281	jurkat	Jurkat	1	0.4896809160709381	2372
SNIP1	555	72	jurkat	Jurkat	1	0.4896809160709381	2372
USP9X	1700	1758	jurkat	Jurkat	1	0.4896809160709381	2372
USP7	2150	2231	jurkat	Jurkat	1	0.4896809160709381	2372
RNF31	543	445	jurkat	Jurkat	1	0.4896809160709381	2372
SNRNP25	182	129	jurkat	Jurkat	1	0.4896809160709381	2372
NHP2	1346	18	jurkat	Jurkat	1	0.4896809160709381	2372
DTL	609	612	jurkat	Jurkat	1	0.4896809160709381	2372
RPS4X	58	56	jurkat	Jurkat	1	0.4896809160709381	2372
SNF8	1278	377	jurkat	Jurkat	1	0.4896809160709381	2372
NUP43	53	45	jurkat	Jurkat	1	0.4896809160709381	2372
NELFA	68	6	jurkat	Jurkat	1	0.4896809160709381	2372
CDT1	609	928	jurkat	Jurkat	1	0.4896809160709381	2372
MOG	330	246	jurkat	Jurkat	1	0.4896809160709381	2372
VPS33A	1021	1675	jurkat	Jurkat	1	0.4896809160709381	2372
CEP85	1405	646	jurkat	Jurkat	1	0.4896809160709381	2372
SF3B2	139	110	jurkat	Jurkat	1	0.4896809160709381	2372
MED14	11	4	jurkat	Jurkat	1	0.4896809160709381	2372
NLE1	575	42	jurkat	Jurkat	1	0.4896809160709381	2372
UTP20	1	25	jurkat	Jurkat	1	0.4896809160709381	2372
HMGCS1	1505	175	jurkat	Jurkat	1	0.4896809160709381	2372
SLC25A10	1701	1520	jurkat	Jurkat	1	0.4896809160709381	2372
TBC1D28	1286	673	jurkat	Jurkat	1	0.4896809160709381	2372
PRKCA	324	140	jurkat	Jurkat	1	0.4896809160709381	2372
DDX19A	1591	1673	jurkat	Jurkat	1	0.4896809160709381	2372
TIMELESS	708	798	jurkat	Jurkat	1	0.4896809160709381	2372
PPA2	910	831	jurkat	Jurkat	1	0.4896809160709381	2372
YARS2	703	453	jurkat	Jurkat	1	0.4896809160709381	2372
RELL2	96	53	jurkat	Jurkat	1	0.4896809160709381	2372
SRP72	885	49	jurkat	Jurkat	1	0.4896809160709381	2372
PNISR	1569	670	jurkat	Jurkat	1	0.4896809160709381	2372
NCKAP1	175	51	jurkat	Jurkat	1	0.4896809160709381	2372
SNW1	61	22	jurkat	Jurkat	1	0.4896809160709381	2372
BRCA2	2012	1831	jurkat	Jurkat	1	0.4896809160709381	2372
GTF3C6	136	24	jurkat	Jurkat	1	0.4896809160709381	2372
VPS29	433	125	jurkat	Jurkat	1	0.4896809160709381	2372
