true_ko	rank_pearson	rank_revpert	cell	cell_line	seed	alpha_star	n_catalog
SRP72	438	17	hepg2	HepG2	1	0.43850818276405334	2372
NUP88	1191	23	hepg2	HepG2	1	0.43850818276405334	2372
C9orf78	796	776	hepg2	HepG2	1	0.43850818276405334	2372
RPRD1B	2255	2205	hepg2	HepG2	1	0.43850818276405334	2372
RPL7	44	29	hepg2	HepG2	1	0.43850818276405334	2372
TMX2	37	32	hepg2	HepG2	1	0.43850818276405334	2372
NCAPG2	963	547	hepg2	HepG2	1	0.43850818276405334	2372
LAMTOR1	818	672	hepg2	HepG2	1	0.43850818276405334	2372
RPS8	414	113	hepg2	HepG2	1	0.43850818276405334	2372
POLR2I	70	16	hepg2	HepG2	1	0.43850818276405334	2372
DLD	565	5	hepg2	HepG2	1	0.43850818276405334	2372
CEP97	1097	518	hepg2	HepG2	1	0.43850818276405334	2372
PARN	1932	1404	hepg2	HepG2	1	0.43850818276405334	2372
SMU1	1478	303	hepg2	HepG2	1	0.43850818276405334	2372
DHFR	1614	1070	hepg2	HepG2	1	0.43850818276405334	2372
EIF2B5	7	1	hepg2	HepG2	1	0.43850818276405334	2372
WDR7	1469	307	hepg2	HepG2	1	0.43850818276405334	2372
SKA1	373	168	hepg2	HepG2	1	0.43850818276405334	2372
POLR2F	150	25	hepg2	HepG2	1	0.43850818276405334	2372
MRPL11	41	5	hepg2	HepG2	1	0.43850818276405334	2372
TRPM7	1084	394	hepg2	HepG2	1	0.43850818276405334	2372
PIAS1	92	278	hepg2	HepG2	1	0.43850818276405334	2372
NPM3	2071	1152	hepg2	HepG2	1	0.43850818276405334	2372
NDUFB3	657	353	hepg2	HepG2	1	0.43850818276405334	2372
H2AFZ	350	127	hepg2	HepG2	1	0.43850818276405334	2372
SMG6	397	8	hepg2	HepG2	1	0.43850818276405334	2372
WDTC1	168	1260	hepg2	HepG2	1	0.43850818276405334	2372
NOL8	56	7	hepg2	HepG2	1	0.43850818276405334	2372
CNOT3	371	25	hepg2	HepG2	1	0.43850818276405334	2372
RSRC2	917	1235	hepg2	HepG2	1	0.43850818276405334	2372
GMPS	91	3	hepg2	HepG2	1	0.43850818276405334	2372
NDUFA2	1717	1591	hepg2	HepG2	1	0.43850818276405334	2372
NCKAP1	148	742	hepg2	HepG2	1	0.43850818276405334	2372
SNIP1	580	103	hepg2	HepG2	1	0.43850818276405334	2372
SURF6	806	23	hepg2	HepG2	1	0.43850818276405334	2372
ABCB10	23	5	hepg2	HepG2	1	0.43850818276405334	2372
TRAPPC3	670	697	hepg2	HepG2	1	0.43850818276405334	2372
ELP3	1496	3	hepg2	HepG2	1	0.43850818276405334	2372
RPS29	11	3	hepg2	HepG2	1	0.43850818276405334	2372
RBM12	1067	158	hepg2	HepG2	1	0.43850818276405334	2372
KTI12	32	78	hepg2	HepG2	1	0.43850818276405334	2372
RPS4X	67	58	hepg2	HepG2	1	0.43850818276405334	2372
SUPT20H	136	28	hepg2	HepG2	1	0.43850818276405334	2372
PELO	440	659	hepg2	HepG2	1	0.43850818276405334	2372
WDR18	1570	183	hepg2	HepG2	1	0.43850818276405334	2372
ORC6	297	24	hepg2	HepG2	1	0.43850818276405334	2372
PWP2	13	10	hepg2	HepG2	1	0.43850818276405334	2372
INTS14	1852	412	hepg2	HepG2	1	0.43850818276405334	2372
PPA2	1410	820	hepg2	HepG2	1	0.43850818276405334	2372
NAGLU	951	259	hepg2	HepG2	1	0.43850818276405334	2372
TRRAP	396	145	hepg2	HepG2	1	0.43850818276405334	2372
FBXL14	374	103	hepg2	HepG2	1	0.43850818276405334	2372
BORA	1604	1454	hepg2	HepG2	1	0.43850818276405334	2372
PTCD3	1919	1970	hepg2	HepG2	1	0.43850818276405334	2372
SPTSSA	811	482	hepg2	HepG2	1	0.43850818276405334	2372
ZC3H3	1345	219	hepg2	HepG2	1	0.43850818276405334	2372
RRP7A	73	37	hepg2	HepG2	1	0.43850818276405334	2372
IARS2	83	12	hepg2	HepG2	1	0.43850818276405334	2372
RELL2	346	120	hepg2	HepG2	1	0.43850818276405334	2372
RFC5	412	229	hepg2	HepG2	1	0.43850818276405334	2372
MLLT6	101	156	hepg2	HepG2	1	0.43850818276405334	2372
PNISR	1449	1050	hepg2	HepG2	1	0.43850818276405334	2372
TCOF1	393	166	hepg2	HepG2	1	0.43850818276405334	2372
LAS1L	22	26	hepg2	HepG2	1	0.43850818276405334	2372
INTS2	95	14	hepg2	HepG2	1	0.43850818276405334	2372
COQ4	56	150	hepg2	HepG2	1	0.43850818276405334	2372
DCTN4	421	20	hepg2	HepG2	1	0.43850818276405334	2372
ARGFX	1011	714	hepg2	HepG2	1	0.43850818276405334	2372
ZNF763	1280	1147	hepg2	HepG2	1	0.43850818276405334	2372
PEF1	270	928	hepg2	HepG2	1	0.43850818276405334	2372
ANAPC15	1379	837	hepg2	HepG2	1	0.43850818276405334	2372
ETF1	20	7	hepg2	HepG2	1	0.43850818276405334	2372
STXBP4	1318	1109	hepg2	HepG2	1	0.43850818276405334	2372
ATP6AP1	246	487	hepg2	HepG2	1	0.43850818276405334	2372
SUMO2	487	338	hepg2	HepG2	1	0.43850818276405334	2372
CDC26	1403	602	hepg2	HepG2	1	0.43850818276405334	2372
SEH1L	904	12	hepg2	HepG2	1	0.43850818276405334	2372
DYNC1I2	868	48	hepg2	HepG2	1	0.43850818276405334	2372
ESYT1	143	475	hepg2	HepG2	1	0.43850818276405334	2372
SMC5	640	522	hepg2	HepG2	1	0.43850818276405334	2372
LPIN1	450	199	hepg2	HepG2	1	0.43850818276405334	2372
NPEPPS	1622	1770	hepg2	HepG2	1	0.43850818276405334	2372
SMC3	21	501	hepg2	HepG2	1	0.43850818276405334	2372
GLRX5	1013	1375	hepg2	HepG2	1	0.43850818276405334	2372
CPNE1	625	1783	hepg2	HepG2	1	0.43850818276405334	2372
WDR3	12	39	hepg2	HepG2	1	0.43850818276405334	2372
ZNHIT2	1851	1026	hepg2	HepG2	1	0.43850818276405334	2372
SIGLEC14	1133	743	hepg2	HepG2	1	0.43850818276405334	2372
DDX18	69	33	hepg2	HepG2	1	0.43850818276405334	2372
PRKCA	949	791	hepg2	HepG2	1	0.43850818276405334	2372
METTL17	1428	1500	hepg2	HepG2	1	0.43850818276405334	2372
C1orf109	1164	1887	hepg2	HepG2	1	0.43850818276405334	2372
NDUFB10	201	30	hepg2	HepG2	1	0.43850818276405334	2372
GYG1	644	516	hepg2	HepG2	1	0.43850818276405334	2372
NPM1	1370	612	hepg2	HepG2	1	0.43850818276405334	2372
CEP85	1748	1619	hepg2	HepG2	1	0.43850818276405334	2372
UTP6	76	74	hepg2	HepG2	1	0.43850818276405334	2372
MRPL1	129	96	hepg2	HepG2	1	0.43850818276405334	2372
MRPS26	1517	16	hepg2	HepG2	1	0.43850818276405334	2372
RHOQ	1317	598	hepg2	HepG2	1	0.43850818276405334	2372
DDX3X	415	262	hepg2	HepG2	1	0.43850818276405334	2372
RPP30	11	5	hepg2	HepG2	1	0.43850818276405334	2372
MRPL54	15	15	hepg2	HepG2	1	0.43850818276405334	2372
ETV4	116	229	hepg2	HepG2	1	0.43850818276405334	2372
ELP2	1171	1481	hepg2	HepG2	1	0.43850818276405334	2372
PSMD11	21	14	hepg2	HepG2	1	0.43850818276405334	2372
PSMD1	142	30	hepg2	HepG2	1	0.43850818276405334	2372
ZCCHC9	38	20	hepg2	HepG2	1	0.43850818276405334	2372
ATP6V1E1	590	1284	hepg2	HepG2	1	0.43850818276405334	2372
ORC1	518	206	hepg2	HepG2	1	0.43850818276405334	2372
ZNF253	1336	216	hepg2	HepG2	1	0.43850818276405334	2372
RTCB	2296	1907	hepg2	HepG2	1	0.43850818276405334	2372
ORC4	1358	440	hepg2	HepG2	1	0.43850818276405334	2372
CDK11A	797	1036	hepg2	HepG2	1	0.43850818276405334	2372
RAB4A	269	242	hepg2	HepG2	1	0.43850818276405334	2372
CSTF3	1434	4	hepg2	HepG2	1	0.43850818276405334	2372
CNIH4	61	132	hepg2	HepG2	1	0.43850818276405334	2372
SRBD1	1604	1808	hepg2	HepG2	1	0.43850818276405334	2372
GTF3C5	67	411	hepg2	HepG2	1	0.43850818276405334	2372
MIS18BP1	1020	1308	hepg2	HepG2	1	0.43850818276405334	2372
TBC1D1	268	224	hepg2	HepG2	1	0.43850818276405334	2372
LCE1C	1710	1427	hepg2	HepG2	1	0.43850818276405334	2372
POLR2K	286	261	hepg2	HepG2	1	0.43850818276405334	2372
HNRNPU	859	966	hepg2	HepG2	1	0.43850818276405334	2372
RBBP5	230	145	hepg2	HepG2	1	0.43850818276405334	2372
DAP3	35	15	hepg2	HepG2	1	0.43850818276405334	2372
COQ5	1571	1729	hepg2	HepG2	1	0.43850818276405334	2372
EEF1A1	785	422	hepg2	HepG2	1	0.43850818276405334	2372
USP36	765	711	hepg2	HepG2	1	0.43850818276405334	2372
ATR	27	2	hepg2	HepG2	1	0.43850818276405334	2372
RPS27A	16	2	hepg2	HepG2	1	0.43850818276405334	2372
TRMT6	526	1182	hepg2	HepG2	1	0.43850818276405334	2372
LST1	1079	521	hepg2	HepG2	1	0.43850818276405334	2372
TPRKB	1659	1563	hepg2	HepG2	1	0.43850818276405334	2372
TSFM	157	115	hepg2	HepG2	1	0.43850818276405334	2372
